symbol,timeframe,total_trades,winning_trades,losing_trades,win_rate,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,max_drawdown_pct
BEAMXUSDT,25m,1,1,0,1.0,0.6669960474308221,0.0,0.6669960474308221,inf,0.0
LQTYUSDT,30m,4,2,2,0.5,2.309129504398615,-1.979281676751235,0.6596956552947595,1.166650270914844,3.0913442361388257
ASTERUSDT,30m,2,2,0,1.0,0.32870792544913396,0.0,0.6574158508982679,inf,0.0
YFIUSDT,25m,2,2,0,1.0,0.3203006690431228,0.0,0.6406013380862456,inf,0.0
JUPUSDT,15m,2,2,0,1.0,0.3188739978113812,0.0,0.6377479956227624,inf,0.0
ORCAUSDT,1h,1,1,0,1.0,0.6373937677053753,0.0,0.6373937677053753,inf,0.0
AGLDUSDT,25m,1,1,0,1.0,0.6373486297004466,0.0,0.6373486297004466,inf,0.0
1INCHUSDT,15m,2,2,0,1.0,0.3168570600071765,0.0,0.633714120014353,inf,0.0
LINKUSDT,15m,3,3,0,1.0,0.2099569847335658,0.0,0.6298709542006974,inf,0.0
GASUSDT,1h,2,2,0,1.0,0.3097446778927426,0.0,0.6194893557854853,inf,0.0
EIGENUSDT,15m,2,2,0,1.0,0.30951260169245554,0.0,0.6190252033849111,inf,0.0
INUSDT,45m,1,1,0,1.0,0.6141947224749791,0.0,0.6141947224749791,inf,0.0
MOVRUSDT,1h,1,1,0,1.0,0.6112774451097795,0.0,0.6112774451097795,inf,0.0
DOGEUSDT,25m,1,1,0,1.0,0.6099242958286056,0.0,0.6099242958286056,inf,0.0
LINEAUSDT,1h,1,1,0,1.0,0.6093189964157707,0.0,0.6093189964157707,inf,0.0
LRCUSDT,25m,1,1,0,1.0,0.606447494414308,0.0,0.606447494414308,inf,0.0
MANAUSDT,1h,1,1,0,1.0,0.5967336683417125,0.0,0.5967336683417125,inf,0.0
INUSDT,30m,1,1,0,1.0,0.5922962265631173,0.0,0.5922962265631173,inf,0.0
DRIFTUSDT,15m,1,1,0,1.0,0.5882352941176475,0.0,0.5882352941176475,inf,0.0
SOLUSDT,15m,2,2,0,1.0,0.2939068849582066,0.0,0.5878137699164132,inf,0.0
ALCHUSDT,15m,1,1,0,1.0,0.5852076429528486,0.0,0.5852076429528486,inf,0.0
OPENUSDT,1h,1,1,0,1.0,0.5837711617046123,0.0,0.5837711617046123,inf,0.0
BICOUSDT,15m,1,1,0,1.0,0.5803349361631563,0.0,0.5803349361631563,inf,0.0
ONTUSDT,1h,1,1,0,1.0,0.5789473684210545,0.0,0.5789473684210545,inf,0.0
DOODUSDT,30m,1,1,0,1.0,0.5783099741461424,0.0,0.5783099741461424,inf,0.0
PENGUUSDT,30m,1,1,0,1.0,0.5746007012076356,0.0,0.5746007012076356,inf,0.0
REDUSDT,1h,1,1,0,1.0,0.5718270571827047,0.0,0.5718270571827047,inf,0.0
EPTUSDT,30m,1,1,0,1.0,0.5705705705705681,0.0,0.5705705705705681,inf,0.0
AIUSDT,15m,1,1,0,1.0,0.5693997856377302,0.0,0.5693997856377302,inf,0.0
SFPUSDT,30m,1,1,0,1.0,0.557063276674747,0.0,0.557063276674747,inf,0.0
SFPUSDT,15m,1,1,0,1.0,0.557063276674747,0.0,0.557063276674747,inf,0.0
SQDUSDT,25m,1,1,0,1.0,0.5546425636811868,0.0,0.5546425636811868,inf,0.0
OBOLUSDT,1h,1,1,0,1.0,0.5503768345894486,0.0,0.5503768345894486,inf,0.0
ICXUSDT,25m,2,2,0,1.0,0.27500908182726197,0.0,0.5500181636545239,inf,0.0
APEUSDT,25m,1,1,0,1.0,0.5383961462170622,0.0,0.5383961462170622,inf,0.0
KAITOUSDT,15m,2,2,0,1.0,0.26917315791992913,0.0,0.5383463158398583,inf,0.0
CATIUSDT,15m,5,4,1,0.8,0.4027907443803188,-1.0755458234043955,0.5356171541168797,1.4979956617947765,1.0755458234043955
PIXELUSDT,1h,1,1,0,1.0,0.5351170568561887,0.0,0.5351170568561887,inf,0.0
EIGENUSDT,25m,1,1,0,1.0,0.534135559921417,0.0,0.534135559921417,inf,0.0
ZECUSDT,30m,1,1,0,1.0,0.5266780381243052,0.0,0.5266780381243052,inf,0.0
WLDUSDT,1h,2,2,0,1.0,0.26102876606232106,0.0,0.5220575321246421,inf,0.0
AXLUSDT,1h,1,1,0,1.0,0.5208333333333269,0.0,0.5208333333333269,inf,0.0
MASKUSDT,25m,1,1,0,1.0,0.5135829166103562,0.0,0.5135829166103562,inf,0.0
ASRUSDT,1h,2,2,0,1.0,0.25639872311038375,0.0,0.5127974462207675,inf,0.0
MOVEUSDT,1h,1,1,0,1.0,0.506912442396315,0.0,0.506912442396315,inf,0.0
THETAUSDT,1h,1,1,0,1.0,0.5039899202015928,0.0,0.5039899202015928,inf,0.0
CUSDT,30m,1,1,0,1.0,0.5016123253314269,0.0,0.5016123253314269,inf,0.0
SYNUSDT,1h,1,1,0,1.0,0.5013673655423836,0.0,0.5013673655423836,inf,0.0
