symbol,timeframe,trade_id,signal_time,direction,pattern_group,entry1_price,entry1_filled,entry2_price,entry2_filled,exit_price,exit_time,exit_reason,pnl_pct,tp_price,sl_price
MILKUSDT,25m,1,2025-11-04 01:00:00,Long,G2,0.02813,False,0.02892,True,0.02895,2025-11-04 01:25:00,TP,0.051867219917010335,0.02895,0.02783
GASUSDT,1h,0,2025-10-08 08:00:00,Long,G2,2.974,False,2.994,True,3.004,2025-10-08 12:00:00,TP,0.16700066800266844,3.004,2.925
GASUSDT,1h,1,2025-10-23 12:00:00,Short,G1,2.548,True,2.535,True,2.53,2025-10-23 13:00:00,TP,0.45248868778281676,2.53,2.553
BROCCOLI714USDT,30m,0,2025-10-23 19:00:00,Short,G2,0.02471,True,0.02464,True,0.02572,2025-10-24 12:30:00,SL,-4.235055724417429,0.02424,0.02572
BROCCOLI714USDT,30m,1,2025-10-31 02:30:00,Short,G1,0.01973,False,0.01957,True,0.01943,2025-10-31 03:00:00,TP,0.3576903423607594,0.01943,0.01982
BROCCOLI714USDT,1h,0,2025-11-04 17:00:00,Short,G1,0.0173,False,0.01646,True,0.01622,2025-11-04 18:00:00,TP,0.7290400972053482,0.01622,0.01838
DOODUSDT,30m,0,2025-11-02 06:30:00,Long,G1,0.00725,False,0.007349,True,0.007434,2025-11-02 07:30:00,TP,0.5783099741461424,0.007434,0.007211
DOODUSDT,1h,0,2025-10-17 01:00:00,Long,G1,0.006766,False,0.00701,True,0.007202,2025-10-17 02:00:00,TP,1.3694721825962934,0.007202,0.006758
GUNUSDT,25m,0,2025-11-03 07:30:00,Long,G2,0.01497,True,0.01509,True,0.0151,2025-11-03 07:55:00,TP,0.4657351962741225,0.0151,0.01479
IOUSDT,30m,0,2025-10-27 03:00:00,Short,G2,0.3714,True,0.3699,True,0.368,2025-10-27 05:00:00,TP,0.7149602050452019,0.368,0.374
HOMEUSDT,1h,0,2025-10-27 08:00:00,Short,G1,0.024736,False,0.024115,True,0.024079,2025-10-27 09:00:00,TP,0.0746423387932849,0.024079,0.024761
NEWTUSDT,30m,0,2025-10-22 04:30:00,Long,G2,0.1449,True,0.1463,True,0.1467,2025-10-22 05:00:00,TP,0.7554945054944985,0.1467,0.1444
NEWTUSDT,1h,0,2025-09-28 14:00:00,Long,G1,0.2011,False,0.204,True,0.2047,2025-09-29 12:00:00,TP,0.17156862745098192,0.2047,0.1998
ACEUSDT,30m,0,2025-10-23 12:00:00,Short,G1,0.2947,False,0.2917,True,0.291,2025-10-23 12:30:00,TP,0.11998628728145935,0.291,0.2955
ACEUSDT,15m,0,2025-11-02 16:45:00,Long,G1,0.2722,False,0.2739,True,0.2748,2025-11-02 17:00:00,FORCED_CLOSE_NEW_SIGNAL,0.16429353778751588,0.2774,0.2692
ACEUSDT,15m,1,2025-11-02 17:00:00,Long,G1,0.2722,True,0.2748,True,0.2774,2025-11-02 22:00:00,TP,1.4259597806215778,0.2774,0.2692
ACEUSDT,25m,0,2025-11-05 22:25:00,Short,G2,0.2512,False,0.2499,True,0.2485,2025-11-05 23:40:00,TP,0.2801120448179296,0.2485,0.2523
PUFFERUSDT,30m,0,2025-10-30 03:30:00,Long,G3,0.10731,True,0.1083,True,0.10527,2025-10-30 04:00:00,SL,-2.351467928203697,0.11136,0.10527
PUFFERUSDT,15m,0,2025-11-02 16:45:00,Long,G3,0.09157,False,0.09234,True,0.09321,2025-11-02 18:00:00,TP,0.4710851202079249,0.09321,0.09083
FLOCKUSDT,1h,0,2025-11-06 02:00:00,Short,G1,0.1989,True,0.1976,True,0.1945,2025-11-06 05:00:00,TP,1.8915510718789286,0.1945,0.2076
MUBARAKUSDT,15m,0,2025-11-06 05:15:00,Short,G2,0.0181,True,0.01801,True,0.01797,2025-11-06 05:45:00,TP,0.47078371642205336,0.01797,0.0183
ENJUSDT,30m,0,2025-10-24 10:00:00,Short,G2,0.04456,True,0.04427,True,0.04438,2025-10-24 12:30:00,TP,0.078802206461766,0.04438,0.04474
ENJUSDT,15m,0,2025-11-04 02:45:00,Short,G1,0.03928,True,0.03909,True,0.03934,2025-11-04 03:00:00,SL,-0.39555952532857563,0.0388,0.03934
SXTUSDT,1h,0,2025-10-16 02:00:00,Long,G1,0.05918,True,0.06002,True,0.05836,2025-10-16 09:00:00,SL,-2.0805369127516746,0.06158,0.05836
MONUSDT,15m,0,2025-11-04 02:45:00,Short,G1,0.04324,False,0.04308,True,0.04297,2025-11-04 03:00:00,FORCED_CLOSE_NEW_SIGNAL,0.12766945218198583,0.04144,0.045
MONUSDT,15m,1,2025-11-04 03:00:00,Short,G1,0.04324,False,0.04297,True,0.04144,2025-11-04 14:00:00,TP,1.7803118454735904,0.04144,0.045
MONUSDT,25m,0,2025-11-04 03:05:00,Short,G1,0.04324,False,0.04252,True,0.04172,2025-11-04 03:55:00,TP,0.9407337723424294,0.04172,0.045
AAVEUSDT,15m,0,2025-11-01 03:00:00,Long,G3,226.75,True,227.46,True,225.15,2025-11-01 06:15:00,SL,-0.8608352964487846,228.61,225.15
AAVEUSDT,25m,0,2025-11-05 06:35:00,Short,G3,198.94,False,198.41,True,196.77,2025-11-05 07:50:00,TP,0.4132856206844379,196.77,201.95
IOTAUSDT,25m,0,2025-11-03 07:30:00,Long,G3,0.1314,True,0.1321,True,0.1344,2025-11-03 08:45:00,TP,2.0113851992409972,0.1344,0.1301
IOTAUSDT,25m,1,2025-11-06 10:55:00,Long,G1,0.1268,True,0.1275,True,0.1285,2025-11-06 13:00:00,TP,1.0617381046008794,0.1285,0.126
CVXUSDT,25m,0,2025-11-02 16:55:00,Long,G1,2.112,False,2.149,True,2.169,2025-11-02 22:45:00,TP,0.4653327128897165,2.169,2.111
ALCHUSDT,15m,0,2025-11-02 07:15:00,Short,G3,0.07107,True,0.07076,True,0.0705,2025-11-02 08:45:00,TP,0.5852076429528486,0.0705,0.07128
XCNUSDT,1h,0,2025-09-29 02:00:00,Short,G1,0.01077,False,0.0107,True,0.01067,2025-09-29 04:00:00,TP,0.14018691588784477,0.01067,0.01086
NTRNUSDT,30m,0,2025-10-18 17:30:00,Long,G3,0.04942,True,0.04958,True,0.05004,2025-10-18 20:30:00,TP,1.0909090909090884,0.05004,0.04887
NTRNUSDT,30m,1,2025-10-28 05:00:00,Long,G3,0.04854,True,0.04877,True,0.04793,2025-10-28 05:30:00,SL,-1.4900832391326757,0.04918,0.04793
NTRNUSDT,15m,0,2025-10-29 13:45:00,Short,G3,0.04795,False,0.04775,True,0.0476,2025-10-29 14:00:00,TP,0.15706806282722235,0.0476,0.0481
HFTUSDT,15m,0,2025-11-05 14:30:00,Short,G1,0.04167,True,0.04131,True,0.04178,2025-11-05 14:45:00,SL,-0.6989636056881142,0.04107,0.04178
MANTAUSDT,1h,0,2025-10-09 18:00:00,Long,G1,0.174,False,0.1793,True,0.1818,2025-10-09 22:00:00,TP,0.6971556051310659,0.1818,0.172
MANTAUSDT,15m,0,2025-11-03 19:00:00,Short,G1,0.0989,False,0.0967,True,0.0963,2025-11-03 19:15:00,TP,0.2068252326783855,0.0963,0.0994
APTUSDT,30m,0,2025-10-27 03:00:00,Short,G2,3.601,False,3.579,True,3.5682,2025-10-27 03:30:00,TP,0.15088013411567675,3.5682,3.619
APTUSDT,25m,0,2025-11-04 22:40:00,Long,G1,2.4284,True,2.558,True,2.6082,2025-11-05 02:50:00,TP,4.612546125461264,2.6082,2.3856
ERAUSDT,30m,0,2025-11-02 21:00:00,Long,G1,0.2654,False,0.2694,True,0.271,2025-11-02 22:30:00,TP,0.29695619896066183,0.271,0.2649
ERAUSDT,1h,0,2025-10-04 02:00:00,Short,G3,0.5634,True,0.5602,True,0.5511,2025-10-04 09:00:00,TP,1.9045923816304808,0.5511,0.581
ERAUSDT,15m,0,2025-10-31 09:00:00,Long,G3,0.2668,False,0.269,True,0.2703,2025-10-31 09:15:00,TP,0.24163568773233604,0.2703,0.2648
ERAUSDT,25m,0,2025-11-02 21:05:00,Long,G1,0.2654,False,0.27,True,0.271,2025-11-02 22:20:00,TP,0.18518518518518534,0.271,0.2649
ILVUSDT,1h,0,2025-10-06 23:00:00,Short,G1,15.438,False,15.327,True,15.145,2025-10-07 06:00:00,TP,0.5937234944868545,15.145,15.545
ILVUSDT,1h,1,2025-10-30 23:00:00,Long,G1,10.136,True,10.218,True,9.838,2025-11-03 04:00:00,SL,-3.3310405817038458,10.376,9.838
ILVUSDT,15m,0,2025-11-01 09:45:00,Short,G1,10.68,True,10.607,True,10.568,2025-11-01 14:00:00,TP,0.709353126321228,10.568,10.764
MLNUSDT,15m,0,2025-11-03 00:45:00,Short,G3,6.754,True,6.73,True,6.642,2025-11-03 03:00:00,TP,1.4832393948383216,6.642,6.849
MLNUSDT,15m,1,2025-11-04 08:45:00,Long,G3,6.233,True,6.377,True,6.428,2025-11-04 11:00:00,TP,1.9508326724821605,6.428,6.077
SUSDT,30m,0,2025-10-23 11:00:00,Short,G3,0.1648,False,0.1632,True,0.1632,2025-10-23 11:30:00,TP,0.0,0.1632,0.165
SUSDT,45m,0,2025-11-06 06:00:00,Short,G2,0.1259,False,0.1253,True,0.1242,2025-11-06 06:45:00,TP,0.4389465283319992,0.1242,0.1285
YALAUSDT,30m,0,2025-10-21 13:30:00,Short,G1,0.0856,True,0.0845,True,0.0838,2025-10-21 14:00:00,TP,1.4697236919459156,0.0838,0.0859
YALAUSDT,30m,1,2025-10-24 22:00:00,Short,G2,0.0978,True,0.0971,True,0.0971,2025-10-24 22:30:00,TP,0.35915854284248644,0.0971,0.1003
YALAUSDT,30m,2,2025-10-30 03:30:00,Short,G2,0.1153,False,0.1137,True,0.113,2025-10-30 04:30:00,TP,0.30782761653473717,0.113,0.117
YALAUSDT,1h,0,2025-10-30 04:00:00,Short,G2,0.1153,False,0.1132,True,0.1129,2025-10-30 05:00:00,TP,0.13250883392225915,0.1129,0.117
BROCCOLIF3BUSDT,30m,0,2025-10-21 20:30:00,Short,G1,0.018264,False,0.017477,True,0.017146,2025-10-21 23:00:00,FORCED_CLOSE_NEW_SIGNAL,0.9469588602162784,0.016672,0.018472
BROCCOLIF3BUSDT,30m,1,2025-10-21 23:00:00,Short,G1,0.018264,False,0.017146,True,0.016672,2025-10-22 00:30:00,TP,1.3822465881255166,0.016672,0.018472
BROCCOLIF3BUSDT,1h,0,2025-10-30 22:00:00,Long,G1,0.012652,False,0.012916,True,0.013228,2025-10-31 04:00:00,TP,1.2078042737689678,0.013228,0.012429
BROCCOLIF3BUSDT,1h,1,2025-11-02 21:00:00,Long,G1,0.012026,False,0.012222,True,0.01237,2025-11-02 22:00:00,TP,0.6054655539191645,0.01237,0.012005
BROCCOLIF3BUSDT,1h,2,2025-11-02 22:00:00,Long,G1,0.012026,False,0.012296,True,0.01237,2025-11-03 00:00:00,TP,0.30091086532206063,0.01237,0.012005
DFUSDT,1h,0,2025-10-16 02:00:00,Long,G1,0.01982,False,0.02035,True,0.0207,2025-10-16 06:00:00,TP,0.8599508599508591,0.0207,0.01967
DFUSDT,1h,1,2025-10-25 12:00:00,Long,G1,0.01889,False,0.01896,True,0.01908,2025-10-25 14:00:00,TP,0.3164556962025279,0.01908,0.01884
ALPINEUSDT,15m,0,2025-11-01 09:45:00,Short,G1,0.7511,True,0.7458,True,0.7423,2025-11-01 13:30:00,TP,0.8216981762308904,0.7423,0.7536
ARUSDT,30m,0,2025-10-27 15:30:00,Long,G3,3.985,True,4.032,True,4.057,2025-10-28 14:30:00,TP,1.2099289010852103,4.057,3.947
C98USDT,1h,0,2025-10-03 06:00:00,Short,G2,0.0678,False,0.0639,True,0.0646,2025-10-03 07:00:00,TP,-0.5477308294209752,0.0646,0.0718
BANANAUSDT,30m,0,2025-10-25 00:30:00,Short,G1,12.184,True,12.091,True,12.093,2025-10-25 01:00:00,TP,0.3666323377960809,12.093,12.193
BANANAUSDT,30m,1,2025-10-26 04:30:00,Long,G1,12.175,False,12.288,True,12.298,2025-10-26 05:00:00,TP,0.040690104166665804,12.298,12.165
BANANAUSDT,1h,0,2025-10-02 07:00:00,Short,G1,18.493,True,18.078,True,18.595,2025-10-02 10:00:00,SL,-1.6925979601323446,17.877,18.595
